RedfinNeighborhood,311 Neighborhood,Analysis Neighborhood
"San Francisco, CA - Alamo Square",Alamo Square,Hayes Valley
"San Francisco, CA - Anza Vista",Anza Vista,Lone Mountain/USF
"San Francisco, CA - Apparel City",Apparel City,Bayview Hunters Point
"San Francisco, CA - Aquatic Park-Fort Mason",Aquatic Park / Ft. Mason,Marina
"San Francisco, CA - Ashbury Heights",Ashbury Heights,Haight Ashbury
"San Francisco, CA - Ashbury Heights / Parnassus",Ashbury Heights,Haight Ashbury
"San Francisco, CA - Baja Noe / Mission Deluxe",Dolores Heights,Mission
"San Francisco, CA - Balboa Hollow",Inner Richmond,Inner Richmond
"San Francisco, CA - Balboa Terrace",Balboa Terrace,West of Twin Peaks
"San Francisco, CA - Bayview",Bayview,Bayview Hunters Point
"San Francisco, CA - Bernal Heights",Bernal Heights,Bernal Heights
"San Francisco, CA - Bret Harte",Bret Harte,Bayview Hunters Point
"San Francisco, CA - Buena Vista",Buena Vista,Haight Ashbury
"San Francisco, CA - Candlestick Point State Recreation Area",Candlestick Point SRA,Bayview Hunters Point
"San Francisco, CA - Castro",Castro,Castro/Upper Market
"San Francisco, CA - Cathedral Hill",Cathedral Hill,Western Addition
"San Francisco, CA - Cayuga",Cayuga,Outer Mission
"San Francisco, CA - Central South of Market",South of Market,South of Market
"San Francisco, CA - Central Waterfront",Central Waterfront,Potrero Hill
"San Francisco, CA - Chinatown",Chinatown,Chinatown
"San Francisco, CA - Civic Center",Civic Center,Tenderloin
"San Francisco, CA - Clarendon Heights",Clarendon Heights,Twin Peaks
"San Francisco, CA - Cole Valley",Cole Valley,Haight Ashbury
"San Francisco, CA - Corona Heights",Corona Heights,Haight Ashbury
"San Francisco, CA - Cow Hollow",Cow Hollow,Marina
"San Francisco, CA - Crocker Amazon",Crocker Amazon,Excelsior
"San Francisco, CA - Design District",Showplace Square,Mission Bay
"San Francisco, CA - Diamond Heights",Diamond Heights,Noe Valley
"San Francisco, CA - Dogpatch",Dogpatch,Potrero Hill
"San Francisco, CA - Dolores Heights",Dolores Heights,Mission
"San Francisco, CA - Downtown San Francisco-Union Square",Downtown / Union Square,Financial District/South Beach
"San Francisco, CA - Duboce Park",Duboce Triangle,Castro/Upper Market
"San Francisco, CA - Duboce Triangle",Duboce Triangle,Castro/Upper Market
"San Francisco, CA - Eureka Valley",Eureka Valley,Castro/Upper Market
"San Francisco, CA - Excelsior",Excelsior,Excelsior
"San Francisco, CA - Fairmount",Fairmount,Glen Park
"San Francisco, CA - Fillmore District",Western Addition,Western Addition
"San Francisco, CA - Financial District",Financial District,Financial District/South Beach
"San Francisco, CA - Fishermans Wharf",Fisherman's Wharf,North Beach
"San Francisco, CA - Forest Hill",Forest Hill,West of Twin Peaks
"San Francisco, CA - Forest Knolls",Forest Knolls,Inner Sunset
"San Francisco, CA - Glen Park",Glen Park,Glen Park
"San Francisco, CA - Golden Gate Heights",Golden Gate Heights,Inner Sunset
"San Francisco, CA - Golden Gate Park",Golden Gate Park,Golden Gate Park
"San Francisco, CA - Haight Ashbury",Haight Ashbury,Haight Ashbury
"San Francisco, CA - Hayes Valley",Hayes Valley,Hayes Valley
"San Francisco, CA - Holly Park",Holly Park,Bernal Heights
"San Francisco, CA - Hunters Point",Hunters Point,Bayview Hunters Point
"San Francisco, CA - India Basin",India Basin,Bayview Hunters Point
"San Francisco, CA - Ingleside",Ingleside,Oceanview/Merced/Ingleside
"San Francisco, CA - Ingleside Terraces",Ingleside Terraces,West of Twin Peaks
"San Francisco, CA - Inner Richmond",Inner Richmond,Inner Richmond
"San Francisco, CA - Inner Sunset",Inner Sunset,Inner Sunset
"San Francisco, CA - Intermission",Civic Center,Tenderloin
"San Francisco, CA - Japantown",Japantown,Japantown
"San Francisco, CA - Laguna Honda",Laguna Honda,West of Twin Peaks
"San Francisco, CA - Lake Street",Lake Street,Seacliff
"San Francisco, CA - Lakeshore",Lakeshore,Lakeshore
"San Francisco, CA - Lakeshore Acres",Lakeshore,Lakeshore
"San Francisco, CA - Laurel Heights-Jordan Park",Laurel Heights / Jordan Park,Presidio Heights
"San Francisco, CA - Lincoln Park-Ft Miley",Lincoln Park / Ft. Miley,Lincoln Park
"San Francisco, CA - Little Hollywood",Little Hollywood,Bayview Hunters Point
"San Francisco, CA - Lone Mountain",Lone Mountain,Lone Mountain/USF
"San Francisco, CA - Lower Haight",Lower Haight,Hayes Valley
"San Francisco, CA - Lower Nob Hill",Lower Nob Hill,Nob Hill
"San Francisco, CA - Lower Pacific Heights",Lower Pacific Heights,Japantown
"San Francisco, CA - Marina District",Marina,Marina
"San Francisco, CA - Marina Gardens",Marina,Marina
"San Francisco, CA - Mclaren Park",McLaren Park,McLaren Park
"San Francisco, CA - Merced Heights",Merced Heights,Oceanview/Merced/Ingleside
"San Francisco, CA - Merced Manor",Merced Manor,Sunset/Parkside
"San Francisco, CA - Midtown Terrace",Midtown Terrace,Twin Peaks
"San Francisco, CA - Mint Hill",Mint Hill,Twin Peaks
"San Francisco, CA - Miraloma Park",Miraloma Park,West of Twin Peaks
"San Francisco, CA - Mission Bay",Mission,Mission
"San Francisco, CA - Mission District",Mission Bay,Mission Bay
"San Francisco, CA - Mission Dolores",Mission Dolores,Mission
"San Francisco, CA - Mission Terrace",Mission Terrace,Outer Mission
"San Francisco, CA - Monterey Heights",Monterey Heights,West of Twin Peaks
"San Francisco, CA - Mount Davidson Manor",Mt. Davidson Manor,West of Twin Peaks
"San Francisco, CA - Nob Hill",Nob Hill,Nob Hill
"San Francisco, CA - Noe Valley",Noe Valley,Noe Valley
"San Francisco, CA - North Beach",North Beach,North Beach
"San Francisco, CA - Northern Waterfront",Northern Waterfront,Financial District/South Beach
"San Francisco, CA - Oceanview",Oceanview,Oceanview/Merced/Ingleside
"San Francisco, CA - Outer Mission",Outer Mission,Outer Mission
"San Francisco, CA - Outer Richmond",Outer Richmond,Outer Richmond
"San Francisco, CA - Outer Sunset",Outer Sunset,Sunset/Parkside
"San Francisco, CA - Pacific Heights",Pacific Heights,Pacific Heights
"San Francisco, CA - Panhandle",Panhandle,Lone Mountain/USF
"San Francisco, CA - Parkmerced",Parkmerced,Lakeshore
"San Francisco, CA - Parkside",Parkside,Sunset/Parkside
"San Francisco, CA - Parnassus Heights",Parnassus Heights,Lone Mountain/USF
"San Francisco, CA - Peralta Heights",Peralta Heights,Bernal Heights
"San Francisco, CA - Polk Gulch",Polk Gulch,Russian Hill
"San Francisco, CA - Portola",Portola,Portola
"San Francisco, CA - Potrero Hill",Potrero Hill,Potrero Hill
"San Francisco, CA - Presidio Heights",Presidio Heights,Presidio Heights
"San Francisco, CA - Presidio National Park",Presidio National Park,Presidio
"San Francisco, CA - Presidio Terrace",Presidio Terrace,Inner Richmond
"San Francisco, CA - Produce Market",Produce Market,Bayview Hunters Point
"San Francisco, CA - Rincon Hill",Rincon Hill,Financial District/South Beach
"San Francisco, CA - Russian Hill",Russian Hill,Russian Hill
"San Francisco, CA - Seacliff",Seacliff,Seacliff
"San Francisco, CA - Sherwood Forest",Sherwood Forest,West of Twin Peaks
"San Francisco, CA - Showplace Square",Showplace Square,Mission Bay
"San Francisco, CA - Silver Terrace",Silver Terrace,Bayview Hunters Point
"San Francisco, CA - South Beach",South Beach,Financial District/South Beach
"San Francisco, CA - South of Market",South of Market,South of Market
"San Francisco, CA - St. Francis Wood",St. Francis Wood,West of Twin Peaks
"San Francisco, CA - St. Marys Park",St. Mary's Park,Bernal Heights
"San Francisco, CA - Stonestown",Stonestown,Lakeshore
"San Francisco, CA - Sunnydale",Sunnydale,Visitacion Valley
"San Francisco, CA - Sunnyside",Sunnyside,West of Twin Peaks
"San Francisco, CA - Sutro Heights",Sutro Heights,Outer Richmond
"San Francisco, CA - Telegraph Hill",Telegraph Hill,North Beach
"San Francisco, CA - Tenderloin",Tenderloin,Tenderloin
"San Francisco, CA - Transmission",Bernal Heights,Bernal Heights
"San Francisco, CA - Treasure Island",Treasure Island,Treasure Island
"San Francisco, CA - Union Street",Union Street,Marina
"San Francisco, CA - University Mound",University Mound,Excelsior
"San Francisco, CA - Upper Market",Upper Market,Noe Valley
"San Francisco, CA - Visitacion Valley",Visitacion Valley,Visitacion Valley
"San Francisco, CA - West Portal",West Portal,West of Twin Peaks
"San Francisco, CA - West Portal Park",West Portal,West of Twin Peaks
"San Francisco, CA - Western Addition",Western Addition,Western Addition
"San Francisco, CA - Western South of Market",South of Market,South of Market
"San Francisco, CA - Westwood Highlands",Westwood Highlands,West of Twin Peaks
"San Francisco, CA - Westwood Park",Westwood Park,West of Twin Peaks
"San Francisco, CA - Yerba Buena Island",Yerba Buena Island,Treasure Island
