Sales Year Month,311 Neighborhood,Analysis Neighborhood,Median Sale Price,Homes Sold,New Listings,Inventory,Days on Market,Average Sale To List Pct
201801,Alamo Square,Hayes Valley,1720000.0,6,2.0,2.0,22.0,109.1
201801,Anza Vista,Lone Mountain/USF,1475000.0,4,1.0,2.0,18.0,117.5
201801,Aquatic Park / Ft. Mason,Marina,1230000.0,3,6.0,2.0,34.0,100.9
201801,Ashbury Heights,Haight Ashbury,1711500.0,23,8.0,1.0,16.0,110.85
201801,Balboa Terrace,West of Twin Peaks,1925000.0,3,2.0,1.0,14.0,104.2
201801,Bayview,Bayview Hunters Point,860000.0,16,12.0,8.0,43.0,106.8
201801,Bernal Heights,Bernal Heights,1258000.0,59,48.0,21.0,37.0,105.35
201801,Bret Harte,Bayview Hunters Point,845000.0,4,5.0,4.0,51.0,121.5
201801,Buena Vista,Haight Ashbury,1905000.0,10,6.0,4.0,56.0,108.9
201801,Candlestick Point SRA,Bayview Hunters Point,790000.0,7,0.0,2.0,43.0,105.2
201801,Castro,Castro/Upper Market,943000.0,4,6.0,1.0,16.0,110.2
201801,Cathedral Hill,Western Addition,878000.0,18,16.0,13.0,41.0,103.5
201801,Cayuga,Outer Mission,1093000.0,6,8.0,3.0,15.0,121.4
201801,Central Waterfront,Potrero Hill,870000.0,3,0.0,0.0,22.0,104.6
201801,Chinatown,Chinatown,1500000.0,3,2.0,1.0,141.0,97.9
201801,Civic Center,Tenderloin,1185000.0,3,1.0,0.0,14.0,102.5
201801,Clarendon Heights,Twin Peaks,1500000.0,7,2.0,0.0,34.0,105.9
201801,Cole Valley,Haight Ashbury,1070000.0,3,2.0,2.0,46.0,107.4
201801,Corona Heights,Haight Ashbury,2383000.0,2,2.0,1.0,10.0,109.3
201801,Cow Hollow,Marina,2450000.0,5,7.0,7.0,43.0,111.0
201801,Crocker Amazon,Excelsior,980000.0,17,13.0,4.0,16.0,116.6
201801,Diamond Heights,Noe Valley,1430000.0,18,9.0,2.0,27.0,107.7
201801,Dolores Heights,Mission,1940500.0,18,18.0,9.0,20.5,112.35
201801,Downtown / Union Square,Financial District/South Beach,1129000.0,7,4.0,7.0,55.0,100.8
201801,Duboce Triangle,Castro/Upper Market,1550000.0,11,7.0,2.0,22.0,115.1
201801,Eureka Valley,Castro/Upper Market,1560000.0,21,16.0,9.0,33.0,110.5
201801,Excelsior,Excelsior,1040000.0,15,21.0,13.0,14.0,117.1
201801,Fairmount,Glen Park,2675000.0,5,4.0,1.0,13.0,108.6
201801,Financial District,Financial District/South Beach,735000.0,1,2.0,1.0,7.0,101.4
201801,Forest Hill,West of Twin Peaks,2638000.0,4,3.0,1.0,15.0,114.2
201801,Forest Knolls,Inner Sunset,1238000.0,4,3.0,2.0,77.0,98.3
201801,Glen Park,Glen Park,1800000.0,11,11.0,4.0,13.0,118.3
201801,Golden Gate Heights,Inner Sunset,1793000.0,12,11.0,5.0,23.0,118.7
201801,Haight Ashbury,Haight Ashbury,1780000.0,5,4.0,1.0,39.0,100.3
201801,Hayes Valley,Hayes Valley,1095000.0,7,11.0,7.0,11.0,115.2
201801,Holly Park,Bernal Heights,1443000.0,6,7.0,2.0,15.0,103.5
201801,Hunters Point,Bayview Hunters Point,739000.0,19,17.0,12.0,42.0,99.1
201801,Ingleside,Oceanview/Merced/Ingleside,1005000.0,11,7.0,1.0,19.0,113.6
201801,Ingleside Terraces,West of Twin Peaks,2238000.0,2,2.0,1.0,28.0,110.0
201801,Inner Richmond,Inner Richmond,1960000.0,45,25.0,7.0,18.0,112.35
201801,Inner Sunset,Inner Sunset,1530000.0,7,14.0,6.0,32.0,108.2
201801,Japantown,Japantown,2137000.0,2,1.0,1.0,66.0,100.7
201801,Laguna Honda,West of Twin Peaks,2251000.0,3,2.0,0.0,11.0,122.1
201801,Lake Street,Seacliff,1690000.0,4,4.0,2.0,22.0,118.8
201801,Lakeshore,Lakeshore,1255000.0,9,1.0,1.0,30.0,112.19999999999999
201801,Laurel Heights / Jordan Park,Presidio Heights,1610000.0,5,7.0,2.0,14.0,108.1
201801,Little Hollywood,Bayview Hunters Point,888000.0,3,4.0,1.0,17.0,112.4
201801,Lone Mountain,Lone Mountain/USF,1800000.0,3,0.0,2.0,18.0,114.6
201801,Lower Haight,Hayes Valley,1295000.0,19,11.0,7.0,53.0,104.1
201801,Lower Nob Hill,Nob Hill,845000.0,15,10.0,10.0,42.0,100.1
201801,Lower Pacific Heights,Japantown,1325000.0,22,18.0,10.0,24.0,105.3
201801,Marina,Marina,1451500.0,25,28.0,13.0,16.0,111.75
201801,Merced Manor,Sunset/Parkside,1910000.0,1,3.0,3.0,11.0,127.8
201801,Midtown Terrace,Twin Peaks,1345000.0,4,1.0,0.0,17.0,131.6
201801,Miraloma Park,West of Twin Peaks,1400000.0,10,8.0,1.0,14.0,123.1
201801,Mission,Mission,1087000.0,44,37.0,22.0,32.0,101.7
201801,Mission Bay,Mission Bay,1308000.0,40,39.0,21.0,30.0,104.7
201801,Mission Dolores,Mission,1356000.0,26,12.0,4.0,35.0,107.8
201801,Mission Terrace,Outer Mission,1019000.0,15,8.0,2.0,14.0,110.2
201801,Mt. Davidson Manor,West of Twin Peaks,1543000.0,4,3.0,0.0,30.0,108.0
201801,Nob Hill,Nob Hill,1360000.0,27,7.0,7.0,73.0,98.3
201801,Noe Valley,Noe Valley,2015000.0,55,44.0,22.0,27.0,108.3
201801,North Beach,North Beach,1230000.0,9,5.0,1.0,48.0,105.1
201801,Northern Waterfront,Financial District/South Beach,2224000.0,8,3.0,1.0,95.0,96.9
201801,Oceanview,Oceanview/Merced/Ingleside,920000.0,11,6.0,3.0,24.0,117.7
201801,Outer Mission,Outer Mission,925000.0,5,6.0,2.0,18.0,111.6
201801,Outer Richmond,Outer Richmond,1400000.0,26,21.0,9.0,23.0,110.1
201801,Outer Sunset,Sunset/Parkside,1355000.0,56,41.0,15.0,17.0,122.6
201801,Pacific Heights,Pacific Heights,2000000.0,47,40.0,17.0,27.0,102.0
201801,Panhandle,Lone Mountain/USF,1354000.0,10,9.0,5.0,36.0,104.7
201801,Parkside,Sunset/Parkside,1308000.0,18,9.0,5.0,16.0,122.7
201801,Parnassus Heights,Lone Mountain/USF,2350000.0,3,6.0,5.0,58.0,106.7
201801,Peralta Heights,Bernal Heights,2033000.0,8,2.0,1.0,40.0,102.9
201801,Polk Gulch,Russian Hill,1180000.0,9,5.0,3.0,53.0,102.5
201801,Portola,Portola,1030000.0,11,9.0,3.0,26.0,110.9
201801,Potrero Hill,Potrero Hill,1320000.0,40,21.0,9.0,32.0,108.0
201801,Presidio Heights,Presidio Heights,3513000.0,12,7.0,4.0,40.0,99.2
201801,Presidio Terrace,Inner Richmond,2150000.0,4,3.0,1.0,33.0,96.7
201801,Rincon Hill,Financial District/South Beach,1201000.0,65,110.0,92.0,66.0,99.5
201801,Russian Hill,Russian Hill,1900000.0,19,22.0,24.0,33.0,102.0
201801,Seacliff,Seacliff,3525000.0,2,2.0,2.0,139.0,95.1
201801,Sherwood Forest,West of Twin Peaks,1550000.0,5,5.0,2.0,14.0,130.1
201801,Showplace Square,Mission Bay,609000.0,2,1.0,1.0,45.0,99.4
201801,Silver Terrace,Bayview Hunters Point,858000.0,11,12.0,7.0,22.0,107.3
201801,South Beach,Financial District/South Beach,1185000.0,95,118.0,78.0,44.0,99.4
201801,South of Market,South of Market,1027000.0,214,222.0,143.0,52.333333333333336,101.10000000000001
201801,St. Francis Wood,West of Twin Peaks,2406000.0,4,3.0,1.0,26.0,100.7
201801,St. Mary's Park,Bernal Heights,1420000.0,4,4.0,1.0,34.0,117.1
201801,Sunnydale,Visitacion Valley,778000.0,1,1.0,1.0,12.0,129.9
201801,Sunnyside,West of Twin Peaks,1395000.0,12,10.0,4.0,15.0,125.8
201801,Sutro Heights,Outer Richmond,1487000.0,6,3.0,1.0,22.0,113.6
201801,Telegraph Hill,North Beach,1230000.0,11,10.0,5.0,53.0,99.9
201801,Tenderloin,Tenderloin,765000.0,6,2.0,2.0,55.0,103.9
201801,Union Street,Marina,2490000.0,15,8.0,5.0,37.0,102.4
201801,University Mound,Excelsior,935000.0,4,1.0,0.0,14.0,116.5
201801,Upper Market,Noe Valley,1885000.0,13,14.0,3.0,22.0,109.2
201801,Visitacion Valley,Visitacion Valley,833000.0,16,8.0,5.0,19.0,108.5
201801,West Portal,West of Twin Peaks,1749000.0,9,5.0,1.0,15.0,116.0
201801,Western Addition,Western Addition,1315000.0,14,19.0,9.0,40.0,113.7
201801,Westwood Park,West of Twin Peaks,1400000.0,9,5.0,3.0,14.0,114.6
201802,Alamo Square,Hayes Valley,1020000.0,2,1.0,1.0,72.0,113.0
201802,Anza Vista,Lone Mountain/USF,898000.0,2,1.0,0.0,41.0,108.1
201802,Aquatic Park / Ft. Mason,Marina,1638000.0,2,3.0,2.0,19.0,100.1
201802,Ashbury Heights,Haight Ashbury,2298000.0,10,10.0,2.0,12.0,107.5
201802,Balboa Terrace,West of Twin Peaks,2313000.0,2,1.0,0.0,13.0,108.2
201802,Bayview,Bayview Hunters Point,850000.0,11,14.0,10.0,37.0,107.6
201802,Bernal Heights,Bernal Heights,1138000.0,48,61.0,29.0,43.0,105.15
201802,Bret Harte,Bayview Hunters Point,950000.0,5,4.0,4.0,25.0,122.4
201802,Buena Vista,Haight Ashbury,1500000.0,5,5.0,2.0,28.0,118.4
201802,Candlestick Point SRA,Bayview Hunters Point,720000.0,4,2.0,4.0,46.0,104.1
201802,Castro,Castro/Upper Market,1035000.0,3,6.0,2.0,11.0,113.4
201802,Cathedral Hill,Western Addition,830000.0,14,19.0,18.0,31.0,101.7
201802,Cayuga,Outer Mission,995000.0,6,8.0,2.0,19.0,122.7
201802,Central Waterfront,Potrero Hill,875000.0,2,0.0,0.0,18.0,106.9
201802,Chinatown,Chinatown,1795000.0,2,3.0,3.0,75.0,99.6
201802,Civic Center,Tenderloin,761000.0,2,2.0,0.0,32.0,100.0
201802,Clarendon Heights,Twin Peaks,1463000.0,2,7.0,5.0,84.0,91.9
201802,Cole Valley,Haight Ashbury,2875000.0,3,2.0,0.0,16.0,106.2
201802,Corona Heights,Haight Ashbury,3200000.0,1,5.0,3.0,6.0,110.5
201802,Cow Hollow,Marina,3675000.0,6,9.0,12.0,43.0,109.6
201802,Crocker Amazon,Excelsior,994000.0,12,10.0,6.0,22.0,112.6
201802,Diamond Heights,Noe Valley,1000000.0,14,6.0,2.0,37.0,107.0
201802,Dolores Heights,Mission,1868000.0,14,19.0,10.0,19.0,109.4
201802,Downtown / Union Square,Financial District/South Beach,1120000.0,5,9.0,6.0,57.0,101.9
201802,Duboce Triangle,Castro/Upper Market,1565000.0,6,7.0,3.0,16.0,113.9
201802,Eureka Valley,Castro/Upper Market,1600000.0,17,20.0,9.0,16.0,111.1
201802,Excelsior,Excelsior,1060000.0,16,18.0,9.0,17.0,115.1
201802,Fairmount,Glen Park,1858000.0,6,13.0,5.0,15.0,109.9
201802,Financial District,Financial District/South Beach,735000.0,1,1.0,1.0,7.0,101.4
201802,Fisherman's Wharf,North Beach,2425000.0,1,3.0,2.0,11.0,115.5
201802,Forest Hill,West of Twin Peaks,2875000.0,2,2.0,2.0,15.0,113.9
201802,Forest Knolls,Inner Sunset,1225000.0,3,3.0,0.0,87.0,96.3
201802,Glen Park,Glen Park,1820000.0,14,22.0,11.0,13.0,116.4
201802,Golden Gate Heights,Inner Sunset,1780000.0,12,18.0,6.0,30.0,112.1
201802,Haight Ashbury,Haight Ashbury,1420000.0,3,4.0,0.0,44.0,101.7
201802,Hayes Valley,Hayes Valley,1173000.0,6,7.0,4.0,14.0,114.7
201802,Holly Park,Bernal Heights,1768000.0,6,8.0,3.0,14.0,112.2
