Year Month,Neighborhood,Arson,Assault,Burglary,Case Closure,Civil Sidewalks,Courtesy Report,Disorderly Conduct,Drug Offense,Drug Violation,Embezzlement,Family Offense,Fire Report,Forgery And Counterfeiting,Fraud,Gambling,Homicide,"Human Trafficking (A), Commercial Sex Acts","Human Trafficking (B), Involuntary Servitude","Human Trafficking, Commercial Sex Acts",Larceny Theft,Liquor Laws,Lost Property,Malicious Mischief,Miscellaneous Investigation,Missing Person,Motor Vehicle Theft,Motor Vehicle Theft?,Non-Criminal,Offences Against The Family And Children,Other,Other Miscellaneous,Other Offenses,Prostitution,Rape,Recovered Vehicle,Robbery,Sex Offense,Stolen Property,Suicide,Suspicious,Suspicious Occ,Traffic Collision,Traffic Violation Arrest,Vandalism,Vehicle Impounded,Vehicle Misplaced,Warrant,Weapons Carrying Etc,Weapons Offence,Weapons Offense,311 External Request,Abandoned Vehicle,Blocked Street or SideWalk,Catch Basin Maintenance,Color Curb,DPW Volunteer Programs,Damaged Property,Encampments,General Request,Graffiti,Homeless Concerns,Illegal Postings,Litter Receptacles,MUNI Feedback,Muni Employee Feedback,Muni Service Feedback,Noise Report,Parking Enforcement,Rec and Park Requests,Residential Building Request,SFHA Requests,Sewer Issues,Sidewalk or Curb,Sign Repair,Street Defects,Street and Sidewalk Cleaning,Streetlights,Temporary Sign Request,Tree Maintenance,Median Sale Price
201801,Bayview Hunters Point,5,64,42,1,0,1,27,16,0,4,2,1,3,13,0,0,0,0,0,105,0,11,60,10,19,44,0,51,16,5,90,7,0,0,36,25,1,7,0,0,19,5,12,0,0,0,25,22,0,8,4,288,10,2,3,3,21,122,93,67,30,0,19,67,0,0,12,0,11,8,16,81,13,5,39,1185,12,0,23,830000.0
201801,Bernal Heights,2,22,8,1,0,0,8,0,0,0,0,0,0,7,0,0,0,0,0,59,0,3,16,5,7,16,0,14,3,1,18,1,0,0,8,14,0,0,0,0,5,0,4,0,0,0,7,0,0,0,2,257,8,5,4,0,17,71,62,77,12,1,15,18,0,0,26,0,17,4,0,44,8,9,20,479,25,0,27,1538500.0
201801,Castro/Upper Market,1,19,29,1,3,0,2,5,0,0,1,0,0,12,0,0,0,0,0,115,0,10,14,2,7,18,0,22,4,2,28,0,0,0,7,7,5,0,0,0,8,1,2,0,0,0,19,0,0,4,2,27,6,2,2,0,27,241,44,200,55,23,4,37,0,0,10,0,17,1,0,26,17,8,13,465,36,0,28,1351000.0
201801,Chinatown,1,12,10,1,0,10,2,3,0,2,0,0,1,6,0,0,0,0,0,77,0,18,31,2,0,7,0,22,2,5,12,0,0,0,3,4,1,2,0,0,9,0,3,0,0,0,2,2,0,1,0,0,3,0,0,0,15,18,13,270,7,7,11,5,0,0,1,0,23,0,2,4,9,20,8,357,9,1,2,1500000.0
201801,Excelsior,0,24,12,0,0,0,5,6,0,0,1,0,2,6,0,0,0,0,0,23,0,10,12,5,14,8,0,22,11,0,30,0,0,0,3,6,0,3,0,0,4,0,6,1,0,0,5,1,0,2,3,100,4,1,0,0,6,7,49,86,1,4,13,15,0,0,5,0,10,3,0,37,3,5,10,536,20,0,9,985000.0
201801,Financial District/South Beach,3,51,49,7,0,2,14,6,0,4,0,0,11,47,0,0,0,0,0,451,1,45,72,4,10,19,0,54,9,4,95,2,0,1,13,31,1,12,0,0,18,1,8,0,0,0,28,16,0,5,1,7,13,1,2,0,98,328,49,199,72,14,40,115,0,0,49,0,13,4,0,32,29,15,32,877,67,15,18,1294800.0
201801,Glen Park,0,2,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,22,0,3,4,3,0,3,0,2,2,2,3,0,0,0,2,0,0,1,0,0,3,0,1,0,0,0,2,2,0,0,1,23,4,1,0,0,6,3,16,47,0,6,7,8,0,0,0,0,7,0,0,16,1,7,5,79,6,1,8,2237500.0
201801,Golden Gate Park,0,6,4,1,1,0,5,4,0,0,1,0,1,2,0,0,0,0,0,40,0,0,11,0,9,5,0,10,2,0,12,3,0,0,4,0,0,1,0,0,4,1,3,0,0,0,5,0,0,3,0,26,2,0,0,0,4,5,10,57,2,8,2,10,0,0,0,0,83,0,0,4,3,2,11,50,9,0,0,0.0
201801,Haight Ashbury,1,5,7,1,12,0,3,6,0,0,0,0,0,7,0,0,0,0,0,63,0,0,15,2,11,7,0,17,3,2,7,4,0,0,2,2,0,0,1,0,2,0,1,0,0,0,6,0,0,0,1,118,20,0,3,0,13,49,37,336,24,17,12,13,0,0,14,0,13,3,0,27,6,17,12,401,17,0,18,1769900.0
201801,Hayes Valley,0,13,21,0,2,1,2,0,0,0,0,0,2,5,0,0,0,0,0,204,0,9,22,2,5,14,0,16,1,3,16,2,0,0,4,11,0,2,0,0,1,0,8,0,1,0,6,0,0,1,2,2,22,2,1,0,22,66,42,233,34,8,18,16,0,0,10,0,22,1,0,14,5,21,15,478,8,3,30,1370000.0
201801,Inner Richmond,0,4,10,2,0,0,2,0,0,0,1,0,1,8,0,0,0,0,0,80,0,10,9,3,8,2,0,10,4,3,10,0,0,0,1,2,0,0,0,0,9,0,2,1,0,0,2,2,0,0,2,64,16,4,3,0,28,16,41,150,5,12,10,24,0,0,4,0,4,9,0,29,2,10,10,353,12,2,25,2055000.0
201801,Inner Sunset,0,6,10,0,0,0,1,2,0,0,0,1,0,5,0,0,0,0,0,45,0,2,6,0,16,6,0,16,3,2,6,1,0,0,3,1,0,0,0,0,3,0,4,0,0,0,6,0,0,0,2,118,3,2,1,0,19,7,35,141,9,23,10,37,0,0,10,0,5,1,0,25,9,10,14,232,24,0,25,1520333.3333333333
201801,Japantown,0,3,3,1,0,0,1,4,0,1,0,0,0,2,0,0,0,0,0,97,0,0,8,1,0,1,0,6,0,0,6,1,3,0,5,2,1,0,0,0,1,0,0,0,0,0,4,3,0,0,1,6,10,3,1,0,33,20,17,72,6,9,4,18,0,0,2,0,1,0,0,12,5,4,9,170,4,5,13,1731000.0
201801,Lakeshore,0,9,14,0,0,0,4,1,0,3,0,0,0,6,0,0,0,0,0,55,0,5,9,2,0,5,0,4,0,0,10,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,16,0,0,0,0,6,0,15,9,0,2,2,28,0,0,4,0,8,2,0,3,7,4,28,41,2,0,4,1255000.0
201801,Lincoln Park,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,1,0,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0.0
201801,Lone Mountain/USF,0,3,9,0,0,0,3,1,0,0,0,0,1,7,0,0,0,0,0,52,0,1,7,5,19,8,0,7,4,1,10,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,16,9,2,0,0,15,10,31,231,5,12,13,14,0,0,0,0,19,1,0,14,6,8,23,254,20,0,25,1744750.0
201801,Marina,0,5,29,0,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,140,0,12,8,0,1,4,0,15,3,0,13,1,0,0,2,5,1,3,0,0,3,0,1,0,0,0,3,3,0,0,0,29,19,1,4,0,22,17,42,72,20,19,17,18,0,0,9,0,3,5,0,41,6,6,18,353,28,1,19,1905375.0
201801,McLaren Park,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,3,0,0,0,0.0
201801,Mission,4,105,43,2,1,0,23,36,0,3,0,7,4,28,0,0,0,0,0,392,1,38,73,11,44,48,0,92,24,8,156,19,6,0,25,32,1,3,1,0,27,0,53,0,0,0,67,16,0,5,3,94,25,4,4,0,113,1242,138,2390,162,26,42,67,0,0,49,0,68,10,0,58,106,71,31,2533,33,8,123,1461166.6666666667
201801,Mission Bay,0,9,19,0,0,5,2,3,0,0,1,0,2,12,0,0,0,0,0,93,0,10,13,0,3,9,0,15,6,0,13,2,0,1,5,3,1,5,0,0,11,1,3,2,0,0,6,1,0,3,0,17,106,1,0,0,20,801,19,44,135,4,3,13,0,0,14,0,2,3,0,0,5,6,3,985,16,1,2,958500.0
201801,Nob Hill,1,10,23,2,0,0,1,4,0,0,0,1,5,19,0,0,0,0,0,112,0,14,25,2,2,16,0,23,5,1,18,0,0,0,7,9,2,6,0,0,11,0,2,0,0,0,13,0,0,0,1,23,20,6,1,0,53,116,42,216,30,3,17,20,0,0,35,0,3,23,0,15,18,10,20,1041,25,7,19,1102500.0
201801,Noe Valley,0,10,17,1,0,0,3,0,0,1,0,0,2,3,0,0,1,0,0,26,0,2,7,1,2,7,0,8,5,1,9,0,0,0,1,2,1,0,0,0,1,1,1,0,0,0,2,0,0,0,1,83,10,1,0,0,7,14,39,44,5,3,13,13,0,0,3,0,9,2,0,35,6,7,12,182,13,3,19,1776666.6666666667
201801,North Beach,0,11,11,0,1,0,5,1,0,0,0,0,0,5,0,0,0,0,0,207,0,13,33,2,0,6,0,23,4,1,35,1,0,0,4,9,0,3,1,0,3,1,7,0,0,0,9,0,0,1,1,9,6,1,2,0,30,46,46,59,22,1,18,16,0,0,10,0,7,1,0,27,6,4,6,526,19,2,12,1230000.0
201801,Oceanview/Merced/Ingleside,1,15,13,1,0,0,1,2,0,0,1,0,0,9,0,0,0,0,0,37,0,5,12,1,1,9,0,10,4,1,21,0,0,0,5,1,0,0,0,0,2,1,3,0,0,0,3,0,0,1,1,153,7,2,0,0,10,7,39,58,0,8,11,16,0,0,10,0,11,0,1,18,4,6,4,317,18,0,10,962500.0
201801,Outer Mission,2,11,5,0,0,3,4,5,0,0,0,0,0,5,3,0,0,0,0,32,0,5,7,3,2,14,0,12,8,2,24,0,0,0,7,4,0,0,0,0,5,0,9,0,0,0,8,4,0,6,1,66,2,1,5,0,24,13,37,106,2,2,20,31,0,0,7,0,8,2,0,22,12,6,9,406,20,0,8,1012333.3333333334
201801,Outer Richmond,0,16,13,0,1,0,2,2,0,0,0,0,1,13,0,0,0,0,0,108,0,3,17,3,2,16,0,20,5,1,22,6,0,0,9,2,0,2,0,0,7,2,7,0,1,0,3,0,0,2,0,116,3,1,2,0,16,17,45,141,33,23,18,20,0,0,3,0,3,0,0,34,13,16,17,392,28,1,26,1443500.0
201801,Pacific Heights,1,4,16,2,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,102,0,6,17,3,3,7,0,19,4,2,17,0,0,0,6,3,0,0,1,0,4,0,1,0,0,0,0,0,0,1,0,18,14,3,5,0,14,21,37,65,15,9,9,21,0,0,10,0,9,5,0,18,4,5,12,266,14,7,14,2000000.0
201801,Portola,0,14,6,1,0,0,1,0,0,1,0,0,3,6,0,0,0,0,0,50,0,3,18,2,1,8,0,6,2,1,9,1,0,0,5,11,1,2,0,0,2,2,2,0,0,0,2,2,0,2,5,57,3,0,1,0,13,17,20,79,0,0,11,20,0,0,3,0,3,0,0,16,7,4,8,706,8,1,10,1030000.0
201801,Potrero Hill,0,6,12,0,0,0,3,2,0,0,1,0,1,5,0,0,0,0,0,117,0,5,25,1,8,13,0,5,3,1,19,2,0,0,9,2,0,2,0,0,5,0,4,0,0,0,3,0,0,0,7,162,29,6,3,0,24,170,96,264,41,23,18,30,0,0,13,0,108,2,66,46,50,24,29,661,15,1,25,1095000.0
201801,Presidio,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,2,0,1,2,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
