Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"San Francisco, CA - Alamo Square",Jan-18,"$1,720K",22.90%,107.20%,6,-14.30%,20.00%,2,-50.00%,100.00%,2,100.00%,0.00%,22,1,-32,109.10%,-2.10%,7.70%
"San Francisco, CA - Alamo Square",Feb-18,"$1,020K",-40.70%,27.50%,2,-66.70%,-33.30%,1,-50.00%,-83.30%,1,-50.00%,-80.00%,72,50,-120,113.00%,3.90%,12.90%
"San Francisco, CA - Alamo Square",Mar-18,"$1,023K",0.20%,-24.30%,2,0.00%,-60.00%,4,300.00%,-33.30%,2,100.00%,0.00%,134,63,103,104.40%,-8.60%,3.60%
"San Francisco, CA - Alamo Square",Apr-18,"$1,150K",12.50%,1.10%,3,50.00%,-50.00%,8,100.00%,-11.10%,3,50.00%,200.00%,73,-61,42,110.00%,5.60%,6.70%
"San Francisco, CA - Alamo Square",May-18,"$2,000K",73.90%,116.00%,7,133.30%,-22.20%,9,12.50%,125.00%,2,-33.30%,,14,-59,-17,110.40%,0.40%,6.70%
"San Francisco, CA - Alamo Square",Jun-18,"$2,000K",0.00%,137.40%,7,0.00%,-12.50%,9,0.00%,125.00%,4,100.00%,,17,3,-15,110.90%,0.60%,0.20%
"San Francisco, CA - Alamo Square",Jul-18,"$2,000K",0.00%,83.10%,7,0.00%,16.70%,6,-33.30%,200.00%,4,0.00%,100.00%,17,1,-4,110.80%,-0.10%,-0.80%
"San Francisco, CA - Alamo Square",Aug-18,$886K,-55.70%,-54.80%,4,-42.90%,100.00%,7,16.70%,133.30%,3,-25.00%,200.00%,34,17,13,108.40%,-2.40%,-20.10%
"San Francisco, CA - Alamo Square",Sep-18,"$1,197K",35.20%,25.30%,6,50.00%,500.00%,8,14.30%,33.30%,3,0.00%,0.00%,15,-20,-19,111.70%,3.30%,5.50%
"San Francisco, CA - Alamo Square",Oct-18,"$1,394K",16.50%,70.50%,7,16.70%,250.00%,7,-12.50%,0.00%,3,0.00%,50.00%,14,-1,-13,111.90%,0.20%,-3.10%
"San Francisco, CA - Alamo Square",Nov-18,"$1,818K",30.40%,48.40%,6,-14.30%,-14.30%,7,0.00%,0.00%,3,0.00%,200.00%,10,-5,-16,116.70%,4.80%,7.00%
"San Francisco, CA - Alamo Square",Dec-18,"$2,408K",32.40%,72.00%,3,-50.00%,-57.10%,3,-57.10%,-25.00%,1,-66.70%,0.00%,5,-5,-16,119.90%,3.20%,8.60%
"San Francisco, CA - Alamo Square",Jan-19,"$1,853K",-23.10%,7.70%,2,-33.30%,-66.70%,4,33.30%,100.00%,3,200.00%,50.00%,15,10,-7,115.50%,-4.40%,6.40%
"San Francisco, CA - Alamo Square",Feb-19,$650K,-64.90%,-36.30%,3,50.00%,50.00%,3,-25.00%,200.00%,2,-33.30%,100.00%,14,-1,-58,105.70%,-9.80%,-7.30%
"San Francisco, CA - Alamo Square",Mar-19,$650K,0.00%,-36.40%,5,66.70%,150.00%,4,33.30%,0.00%,,,,26,12,-108,105.10%,-0.70%,0.60%
"San Francisco, CA - Alamo Square",Apr-19,$650K,0.00%,-43.50%,5,0.00%,66.70%,7,75.00%,-12.50%,2,,-33.30%,52,26,-21,104.20%,-0.80%,-5.80%
"San Francisco, CA - Alamo Square",May-19,$833K,28.10%,-58.40%,8,60.00%,14.30%,7,0.00%,-22.20%,1,-50.00%,-50.00%,25,-28,11,114.80%,10.60%,4.40%
"San Francisco, CA - Alamo Square",Jun-19,$860K,3.30%,-57.00%,7,-12.50%,0.00%,8,14.30%,-11.10%,2,100.00%,-50.00%,12,-13,-5,117.10%,2.30%,6.20%
"San Francisco, CA - Alamo Square",Jul-19,$958K,11.30%,-52.10%,8,14.30%,14.30%,5,-37.50%,-16.70%,1,-50.00%,-75.00%,13,1,-5,119.20%,2.10%,8.40%
"San Francisco, CA - Alamo Square",Aug-19,"$1,208K",26.10%,36.40%,6,-25.00%,50.00%,7,40.00%,0.00%,1,0.00%,-66.70%,14,2,-20,111.50%,-7.70%,3.10%
"San Francisco, CA - Alamo Square",Sep-19,"$1,050K",-13.00%,-12.30%,7,16.70%,16.70%,11,57.10%,37.50%,6,500.00%,100.00%,15,1,0,114.80%,3.40%,3.10%
"San Francisco, CA - Alamo Square",Oct-19,"$1,825K",73.80%,30.90%,5,-28.60%,-28.60%,9,-18.20%,28.60%,1,-83.30%,-66.70%,14,-1,0,113.90%,-1.00%,2.00%
"San Francisco, CA - Alamo Square",Nov-19,$840K,-54.00%,-53.80%,8,60.00%,33.30%,6,-33.30%,-14.30%,,,,18,4,8,115.10%,1.20%,-1.60%
"San Francisco, CA - Alamo Square",Dec-19,$813K,-3.30%,-66.30%,6,-25.00%,100.00%,,,,,,,23,6,18,112.70%,-2.40%,-7.10%
"San Francisco, CA - Alamo Square",Jan-20,$825K,1.50%,-55.50%,7,16.70%,250.00%,2,,-50.00%,1,,-66.70%,20,-3,5,115.10%,2.30%,-0.40%
"San Francisco, CA - Alamo Square",Feb-20,"$2,331K",182.50%,258.50%,2,-71.40%,-33.30%,2,0.00%,-33.30%,,,,13,-7,-1,126.30%,11.30%,20.60%
"San Francisco, CA - Alamo Square",Mar-20,"$2,331K",0.00%,258.50%,2,0.00%,-60.00%,2,0.00%,-50.00%,,,,13,0,-13,126.30%,0.00%,21.30%
"San Francisco, CA - Alamo Square",Apr-20,"$1,111K",-52.30%,70.90%,1,-50.00%,-80.00%,1,-50.00%,-85.70%,1,,-50.00%,12,-1,-40,123.60%,-2.80%,19.30%
"San Francisco, CA - Alamo Square",Jun-20,$865K,,0.60%,1,,-85.70%,5,,-37.50%,3,,50.00%,33,,21,108.30%,,-8.80%
"San Francisco, CA - Alamo Square",Jul-20,$868K,0.30%,-9.30%,2,100.00%,-75.00%,5,0.00%,0.00%,3,0.00%,200.00%,26,-7,14,108.60%,0.40%,-10.50%
"San Francisco, CA - Alamo Square",Aug-20,$868K,0.00%,-28.10%,2,0.00%,-66.70%,5,0.00%,-28.60%,4,33.30%,300.00%,26,0,12,108.60%,0.00%,-2.80%
"San Francisco, CA - Alamo Square",Sep-20,"$1,075K",23.80%,2.30%,2,0.00%,-71.40%,8,60.00%,-27.30%,9,125.00%,50.00%,70,44,55,101.80%,-6.80%,-13.00%
"San Francisco, CA - Anza Vista",Jan-18,"$1,475K",0.00%,83.20%,4,0.00%,33.30%,1,-50.00%,-75.00%,2,100.00%,-50.00%,18,0,-29,117.50%,0.00%,17.70%
"San Francisco, CA - Anza Vista",Feb-18,$898K,-39.20%,-42.10%,2,-50.00%,-60.00%,1,0.00%,-75.00%,,,,41,24,-5,108.10%,-9.50%,5.50%
"San Francisco, CA - Anza Vista",Mar-18,"$2,263K",152.10%,75.40%,2,0.00%,-66.70%,1,0.00%,-83.30%,,,,86,45,45,97.60%,-10.50%,-4.20%
"San Francisco, CA - Anza Vista",Apr-18,"$2,263K",0.00%,83.20%,2,0.00%,-66.70%,2,100.00%,-33.30%,1,,-50.00%,86,0,55,97.60%,0.00%,-8.80%
"San Francisco, CA - Anza Vista",May-18,"$2,263K",0.00%,211.40%,2,0.00%,-50.00%,3,50.00%,0.00%,2,100.00%,100.00%,86,0,59,97.60%,0.00%,-6.90%
"San Francisco, CA - Anza Vista",Jun-18,"$1,650K",-27.10%,61.80%,1,-50.00%,-50.00%,6,100.00%,100.00%,4,100.00%,300.00%,1,-85,-21,100.00%,2.40%,-10.00%
"San Francisco, CA - Anza Vista",Jul-18,"$2,315K",40.30%,43.60%,4,300.00%,100.00%,5,-16.70%,0.00%,1,-75.00%,0.00%,17,16,-3,107.50%,7.50%,3.90%
"San Francisco, CA - Anza Vista",Aug-18,"$1,688K",-27.10%,29.90%,5,25.00%,25.00%,4,-20.00%,-42.90%,1,0.00%,0.00%,20,3,11,106.80%,-0.70%,-3.80%
"San Francisco, CA - Anza Vista",Sep-18,"$2,334K",38.30%,165.20%,4,-20.00%,-20.00%,5,25.00%,-28.60%,,,,42,22,30,108.40%,1.70%,-0.70%
"San Francisco, CA - Anza Vista",Oct-18,"$1,025K",-56.10%,17.60%,5,25.00%,25.00%,8,60.00%,33.30%,3,,0.00%,15,-27,6,108.20%,-0.20%,-1.40%
"San Francisco, CA - Anza Vista",Nov-18,"$1,225K",19.50%,-35.50%,7,40.00%,133.30%,10,25.00%,150.00%,2,-33.30%,100.00%,15,-1,1,109.90%,1.60%,-9.30%
"San Francisco, CA - Anza Vista",Dec-18,"$1,025K",-16.30%,-30.50%,9,28.60%,125.00%,6,-40.00%,200.00%,1,-50.00%,0.00%,15,0,-3,110.30%,0.40%,-7.20%
"San Francisco, CA - Anza Vista",Jan-19,"$1,250K",22.00%,-15.30%,5,-44.40%,25.00%,2,-66.70%,100.00%,1,0.00%,-50.00%,16,1,-2,111.10%,0.80%,-6.40%
"San Francisco, CA - Anza Vista",Feb-19,$980K,-21.60%,9.20%,3,-40.00%,50.00%,1,-50.00%,0.00%,1,0.00%,,56,41,15,109.80%,-1.20%,1.80%
